Wellbore,Date,TotalQualityScore,ValidityScore,CompletenessScore,ConsistencyScore
Wellbore-1,03-Jun-23,40,35,75,70
Wellbore-2,03-Jun-23,50,45,55,70
Wellbore-3,03-Jun-23,45,35,65,70
Wellbore-4,03-Jun-23,55,35,65,75
Wellbore-5,03-Jun-23,50,35,75,75
Wellbore-1,10-Jun-23,45,35,55,60
Wellbore-2,10-Jun-23,60,45,75,70
Wellbore-3,10-Jun-23,50,35,65,55
Wellbore-4,10-Jun-23,70,65,75,80
Wellbore-5,10-Jun-23,75,75,75,70
Wellbore-1,17-Jun-23,60,65,75,60
Wellbore-2,17-Jun-23,80,85,85,80
Wellbore-3,17-Jun-23,75,75,75,80
Wellbore-4,17-Jun-23,80,85,85,80
Wellbore-5,17-Jun-23,75,75,75,80
Wellbore-1,24-Jun-23,35,35,45,40
Wellbore-2,24-Jun-23,80,75,75,80
Wellbore-3,24-Jun-23,70,65,75,70
Wellbore-4,24-Jun-23,70,75,75,70
Wellbore-5,24-Jun-23,80,85,85,80
Wellbore-1,01-Jul-23,70,65,75,70
Wellbore-2,01-Jul-23,75,75,75,80
Wellbore-3,01-Jul-23,80,75,85,80
Wellbore-4,01-Jul-23,75,75,75,80
Wellbore-5,01-Jul-23,74,75,75,80
Wellbore-1,08-Jul-23,50,45,65,60
Wellbore-2,08-Jul-23,70,65,75,80
Wellbore-3,08-Jul-23,70,75,75,70
Wellbore-4,08-Jul-23,75,65,75,82
Wellbore-5,08-Jul-23,75,75,65,80
Wellbore-1,15-Jul-23,85,85,85,80
Wellbore-2,15-Jul-23,82,75,85,90
Wellbore-3,15-Jul-23,81,85,75,90
Wellbore-4,15-Jul-23,80,85,65,90
Wellbore-5,15-Jul-23,70,65,75,70
Wellbore-1,22-Jul-23,85,95,85,82
Wellbore-2,22-Jul-23,90,85,85,82
Wellbore-3,22-Jul-23,80,65,85,82
Wellbore-4,22-Jul-23,90,85,85,82
Wellbore-5,22-Jul-23,85,84,85,82
Wellbore-1,29-Jul-23,95,95,85,82
Wellbore-2,29-Jul-23,90,95,85,88
Wellbore-3,29-Jul-23,91,84,95,90
Wellbore-4,29-Jul-23,84,82,85,85
Wellbore-5,29-Jul-23,92,85,92,86
